sWL,sRC,sM,sSS,sTB,sPC,sLPP,sTIME
L,72.34,01.32,07,0.00000025,0.00026001,1.971%,00:30:12
L,92.31,01.36,04,0.00000019,0.00026020,1.971%,00:30:11
L,42.03,01.20,07,0.00000014,0.00026034,1.971%,00:30:10
L,66.88,01.19,02,0.00000012,0.00026046,1.971%,00:30:09
L,61.66,01.08,07,0.00000011,0.00026056,1.971%,00:30:09
W,03.84,01.52,00,0.00000490,0.00026066,1.971%,00:30:08
L,51.59,01.71,07,0.00000322,0.00025450,1.962%,00:30:07
L,80.60,01.53,07,0.00000188,0.00025638,1.962%,00:30:07
L,99.51,01.95,08,0.00000123,0.00025761,1.962%,00:30:06
L,94.64,01.70,07,0.00000063,0.00025824,1.962%,00:30:05
L,40.70,01.49,07,0.00000037,0.00025861,1.962%,00:30:05
L,88.03,01.33,07,0.00000025,0.00025886,1.962%,00:30:04
L,37.39,01.36,04,0.00000019,0.00025905,1.962%,00:30:03
L,36.85,01.20,07,0.00000014,0.00025919,1.962%,00:30:02
L,44.05,01.19,02,0.00000012,0.00025931,1.962%,00:30:01
L,99.67,01.08,07,0.00000011,0.00025941,1.962%,00:30:01
W,04.20,01.27,00,0.00000032,0.00025951,1.962%,00:30:00
L,24.66,01.33,07,0.00000025,0.00025859,1.960%,00:29:59
L,27.32,01.36,04,0.00000019,0.00025878,1.960%,00:29:58
L,13.65,01.20,07,0.00000014,0.00025892,1.960%,00:29:58
L,19.55,01.19,02,0.00000012,0.00025904,1.960%,00:29:57
L,50.74,01.08,07,0.00000011,0.00025914,1.960%,00:29:56
W,03.28,01.09,00,0.00000013,0.00025924,1.960%,00:29:56
L,59.22,01.19,02,0.00000012,0.00025787,1.951%,00:29:55
L,30.73,01.08,07,0.00000011,0.00025797,1.951%,00:29:54
W,00.68,01.19,00,0.00000147,0.00025807,1.951%,00:29:54
L,42.17,01.95,08,0.00000123,0.00025169,1.917%,00:29:53
L,65.89,01.70,07,0.00000063,0.00025232,1.917%,00:29:52
L,88.10,01.49,07,0.00000037,0.00025269,1.917%,00:29:52
L,49.18,01.33,07,0.00000025,0.00025294,1.917%,00:29:51
L,54.57,01.36,04,0.00000019,0.00025313,1.917%,00:29:50
L,30.08,01.20,07,0.00000014,0.00025327,1.917%,00:29:50
L,45.93,01.19,02,0.00000012,0.00025339,1.917%,00:29:49
L,18.73,01.08,07,0.00000011,0.00025349,1.917%,00:29:49
W,03.77,01.19,00,0.00000147,0.00025359,1.917%,00:29:48
L,75.40,01.95,08,0.00000123,0.00024721,1.884%,00:29:47
L,72.91,01.70,07,0.00000063,0.00024784,1.884%,00:29:46
L,65.34,01.49,07,0.00000037,0.00024821,1.884%,00:29:46
L,96.36,01.33,07,0.00000025,0.00024846,1.884%,00:29:45
L,52.71,01.36,04,0.00000019,0.00024865,1.884%,00:29:44
L,30.67,01.20,07,0.00000014,0.00024879,1.884%,00:29:44
L,85.51,01.19,02,0.00000012,0.00024891,1.884%,00:29:43
L,13.78,01.08,07,0.00000011,0.00024901,1.884%,00:29:42
W,21.27,01.52,00,0.00000490,0.00024911,1.884%,00:29:41
L,48.44,01.71,07,0.00000322,0.00024295,1.875%,00:29:41
L,21.65,01.53,07,0.00000188,0.00024483,1.875%,00:29:40
L,83.12,01.95,08,0.00000123,0.00024606,1.875%,00:29:39
L,80.89,01.70,07,0.00000063,0.00024669,1.875%,00:29:39
L,89.58,01.49,07,0.00000037,0.00024706,1.875%,00:29:38
L,85.75,01.33,07,0.00000025,0.00024731,1.875%,00:29:37
L,42.23,01.36,04,0.00000019,0.00024750,1.875%,00:29:37
L,55.41,01.20,07,0.00000014,0.00024764,1.875%,00:29:36
L,88.16,01.19,02,0.00000012,0.00024776,1.875%,00:29:35
L,09.75,01.08,07,0.00000011,0.00024786,1.875%,00:29:34
W,06.75,01.14,00,0.00000022,0.00024796,1.875%,00:29:34
L,55.27,01.36,04,0.00000019,0.00024659,1.868%,00:29:33
L,21.14,01.20,07,0.00000014,0.00024673,1.868%,00:29:33
L,13.42,01.19,02,0.00000012,0.00024685,1.868%,00:29:32
L,82.90,01.08,07,0.00000011,0.00024695,1.868%,00:29:32
W,26.85,01.43,00,0.00000053,0.00024705,1.868%,00:29:31
L,55.66,01.49,07,0.00000037,0.00024620,1.868%,00:29:30
L,70.86,01.33,07,0.00000025,0.00024645,1.868%,00:29:30
L,59.02,01.36,04,0.00000019,0.00024664,1.868%,00:29:29
L,90.34,01.20,07,0.00000014,0.00024678,1.868%,00:29:28
L,87.83,01.19,02,0.00000012,0.00024690,1.868%,00:29:27
L,88.23,01.08,07,0.00000011,0.00024700,1.868%,00:29:27
W,05.51,01.27,00,0.00000032,0.00024710,1.868%,00:29:26
L,79.48,01.33,07,0.00000025,0.00024617,1.868%,00:29:25
L,83.71,01.36,04,0.00000019,0.00024636,1.868%,00:29:25
L,27.20,01.20,07,0.00000014,0.00024650,1.868%,00:29:24
L,42.56,01.19,02,0.00000012,0.00024662,1.868%,00:29:24
L,79.70,01.08,07,0.00000011,0.00024672,1.868%,00:29:23
W,17.07,01.65,00,0.00000104,0.00024682,1.868%,00:29:22
L,75.43,01.70,07,0.00000063,0.00024585,1.868%,00:29:22
L,74.47,01.49,07,0.00000037,0.00024622,1.868%,00:29:21
L,30.56,01.33,07,0.00000025,0.00024647,1.868%,00:29:20
L,22.82,01.36,04,0.00000019,0.00024666,1.868%,00:29:20
L,39.85,01.20,07,0.00000014,0.00024680,1.868%,00:29:19
L,33.36,01.19,02,0.00000012,0.00024692,1.868%,00:29:19
L,58.67,01.08,07,0.00000011,0.00024702,1.868%,00:29:18
W,12.09,01.21,00,0.00000017,0.00024712,1.868%,00:29:18
L,47.77,01.20,07,0.00000014,0.00024644,1.866%,00:29:17
L,25.08,01.19,02,0.00000012,0.00024656,1.866%,00:29:16
L,60.46,01.08,07,0.00000011,0.00024666,1.866%,00:29:16
W,13.57,01.21,00,0.00000017,0.00024676,1.866%,00:29:15
L,35.26,01.20,07,0.00000014,0.00024609,1.863%,00:29:14
L,34.51,01.19,02,0.00000012,0.00024621,1.863%,00:29:14
L,69.53,01.08,07,0.00000011,0.00024631,1.863%,00:29:13
W,05.79,01.09,00,0.00000013,0.00024641,1.863%,00:29:12
L,56.52,01.19,02,0.00000012,0.00024504,1.854%,00:29:12
L,56.91,01.08,07,0.00000011,0.00024514,1.854%,00:29:11
W,02.21,01.21,00,0.00000017,0.00024524,1.854%,00:29:11
L,14.54,01.20,07,0.00000014,0.00024457,1.854%,00:29:10
L,97.19,01.19,02,0.00000012,0.00024469,1.854%,00:29:09
L,51.60,01.08,07,0.00000011,0.00024479,1.854%,00:29:09
W,21.25,01.65,00,0.00000104,0.00024489,1.854%,00:29:08
L,86.24,01.70,07,0.00000063,0.00024392,1.854%,00:29:07
L,99.28,01.49,07,0.00000037,0.00024429,1.854%,00:29:06
L,67.43,01.33,07,0.00000025,0.00024454,1.854%,00:29:06
L,50.66,01.36,04,0.00000019,0.00024473,1.854%,00:29:05
L,58.69,01.20,07,0.00000014,0.00024487,1.854%,00:29:04
L,93.26,01.19,02,0.00000012,0.00024499,1.854%,00:29:04
L,65.17,01.08,07,0.00000011,0.00024509,1.854%,00:29:03
W,12.50,01.27,00,0.00000032,0.00024519,1.854%,00:29:02
L,30.41,01.33,07,0.00000025,0.00024426,1.852%,00:29:02
L,51.62,01.36,04,0.00000019,0.00024445,1.852%,00:29:01
L,16.03,01.20,07,0.00000014,0.00024459,1.852%,00:29:00
L,80.42,01.19,02,0.00000012,0.00024471,1.852%,00:29:00
L,95.60,01.08,07,0.00000011,0.00024481,1.852%,00:28:59
W,04.76,01.09,00,0.00000013,0.00024491,1.852%,00:28:58
L,20.00,01.19,02,0.00000012,0.00024354,1.843%,00:28:58
L,70.40,01.08,07,0.00000011,0.00024364,1.843%,00:28:57
W,15.48,01.43,00,0.00000053,0.00024374,1.843%,00:28:56
L,61.72,01.49,07,0.00000037,0.00024289,1.843%,00:28:55
L,30.11,01.32,07,0.00000025,0.00024314,1.843%,00:28:55
L,63.71,01.36,04,0.00000019,0.00024333,1.843%,00:28:54
L,28.68,01.20,07,0.00000014,0.00024347,1.843%,00:28:53
L,29.60,01.19,02,0.00000012,0.00024359,1.843%,00:28:53
L,47.82,01.08,07,0.00000011,0.00024369,1.843%,00:28:52
W,06.27,01.19,00,0.00000147,0.00024379,1.843%,00:28:51
L,95.97,01.95,08,0.00000123,0.00023741,1.810%,00:28:51
L,74.96,01.70,07,0.00000063,0.00023804,1.810%,00:28:50
L,37.63,01.49,07,0.00000037,0.00023841,1.810%,00:28:49
L,36.11,01.33,07,0.00000025,0.00023866,1.810%,00:28:49
L,53.02,01.36,04,0.00000019,0.00023885,1.810%,00:28:48
L,41.12,01.20,07,0.00000014,0.00023899,1.810%,00:28:47
L,65.96,01.19,02,0.00000012,0.00023911,1.810%,00:28:47
L,78.06,01.08,07,0.00000011,0.00023921,1.810%,00:28:46
W,19.11,01.43,00,0.00000053,0.00023931,1.810%,00:28:45
L,24.38,01.49,07,0.00000037,0.00023846,1.810%,00:28:45
L,42.95,01.33,07,0.00000025,0.00023871,1.810%,00:28:44
L,81.73,01.36,04,0.00000019,0.00023890,1.810%,00:28:43
L,45.82,01.20,07,0.00000014,0.00023904,1.810%,00:28:42
L,87.68,01.19,02,0.00000012,0.00023916,1.810%,00:28:42
L,93.10,01.08,07,0.00000011,0.00023926,1.810%,00:28:41
W,03.11,01.19,00,0.00000147,0.00023936,1.810%,00:28:41
L,71.80,01.95,08,0.00000123,0.00023298,1.798%,00:28:40
L,68.32,01.70,07,0.00000063,0.00023361,1.798%,00:28:39
L,62.57,01.49,07,0.00000037,0.00023398,1.798%,00:28:39
L,20.26,01.33,07,0.00000025,0.00023423,1.798%,00:28:38
L,95.87,01.36,04,0.00000019,0.00023442,1.798%,00:28:38
L,58.85,01.20,07,0.00000014,0.00023456,1.798%,00:28:37
L,59.32,01.19,02,0.00000012,0.00023468,1.798%,00:28:36
L,62.53,01.08,07,0.00000011,0.00023478,1.798%,00:28:36
W,22.51,01.65,00,0.00000104,0.00023488,1.798%,00:28:35
L,84.18,01.70,07,0.00000063,0.00023391,1.798%,00:28:35
L,72.78,01.49,07,0.00000037,0.00023428,1.798%,00:28:34
L,89.42,01.33,07,0.00000025,0.00023453,1.798%,00:28:33
L,24.66,01.36,04,0.00000019,0.00023472,1.798%,00:28:33
L,74.63,01.20,07,0.00000014,0.00023486,1.798%,00:28:32
L,22.18,01.19,02,0.00000012,0.00023498,1.798%,00:28:32
L,71.68,01.08,07,0.00000011,0.00023508,1.798%,00:28:31
W,37.31,02.20,00,0.00003131,0.00023518,1.798%,00:28:30
L,98.46,02.28,07,0.00001423,0.00022332,1.798%,00:28:30
L,36.55,01.94,05,0.00000623,0.00022955,1.798%,00:28:29
L,46.77,01.71,07,0.00000322,0.00023277,1.798%,00:28:29
L,53.30,01.53,07,0.00000188,0.00023465,1.798%,00:28:28
L,76.06,01.95,08,0.00000123,0.00023588,1.798%,00:28:27
L,38.13,01.70,07,0.00000063,0.00023651,1.798%,00:28:27
L,45.61,01.49,07,0.00000037,0.00023688,1.798%,00:28:26
L,95.68,01.33,07,0.00000025,0.00023713,1.798%,00:28:26
L,83.92,01.36,04,0.00000019,0.00023732,1.798%,00:28:25
L,68.70,01.20,07,0.00000014,0.00023746,1.798%,00:28:24
L,21.28,01.19,02,0.00000012,0.00023758,1.798%,00:28:23
L,92.86,01.08,07,0.00000011,0.00023768,1.798%,00:28:22
W,12.53,01.21,00,0.00000017,0.00023778,1.798%,00:28:22
L,73.18,01.20,07,0.00000014,0.00023711,1.795%,00:28:21
L,17.23,01.19,02,0.00000012,0.00023723,1.795%,00:28:20
L,19.67,01.08,07,0.00000011,0.00023733,1.795%,00:28:20
W,29.28,01.52,00,0.00000490,0.00023743,1.795%,00:28:19
L,85.06,01.71,07,0.00000322,0.00023127,1.787%,00:28:18
L,43.50,01.53,07,0.00000188,0.00023315,1.787%,00:28:18
L,61.14,01.95,08,0.00000123,0.00023438,1.787%,00:28:17
L,64.31,01.70,07,0.00000063,0.00023501,1.787%,00:28:16
L,74.11,01.50,07,0.00000037,0.00023538,1.787%,00:28:16
L,47.70,01.33,07,0.00000025,0.00023563,1.787%,00:28:15
L,24.34,01.36,04,0.00000019,0.00023582,1.787%,00:28:15
L,24.96,01.20,07,0.00000014,0.00023596,1.787%,00:28:14
L,37.77,01.19,02,0.00000012,0.00023608,1.787%,00:28:13
L,90.27,01.08,07,0.00000011,0.00023618,1.787%,00:28:13
W,08.79,01.14,00,0.00000022,0.00023628,1.787%,00:28:12
L,50.79,01.36,04,0.00000019,0.00023491,1.780%,00:28:12
L,15.86,01.20,07,0.00000014,0.00023505,1.780%,00:28:11
L,94.38,01.19,02,0.00000012,0.00023517,1.780%,00:28:11
L,74.81,01.08,07,0.00000011,0.00023527,1.780%,00:28:10
W,16.02,01.34,00,0.00000252,0.00023537,1.780%,00:28:09
L,62.37,01.53,07,0.00000188,0.00022980,1.761%,00:28:09
L,89.02,01.95,08,0.00000123,0.00023103,1.761%,00:28:08
L,58.23,01.70,07,0.00000063,0.00023166,1.761%,00:28:07
L,43.34,01.50,07,0.00000037,0.00023203,1.761%,00:28:07
L,52.70,01.33,07,0.00000025,0.00023228,1.761%,00:28:06
L,96.26,01.36,04,0.00000019,0.00023247,1.761%,00:28:06
L,29.34,01.20,07,0.00000014,0.00023261,1.761%,00:28:05
L,35.36,01.19,02,0.00000012,0.00023273,1.761%,00:28:04
L,85.14,01.08,07,0.00000011,0.00023283,1.761%,00:28:04
W,09.03,01.34,00,0.00000252,0.00023293,1.761%,00:28:03
L,31.53,01.53,07,0.00000188,0.00022737,1.743%,00:28:03
L,74.51,01.95,08,0.00000123,0.00022860,1.743%,00:28:02
L,58.73,01.70,07,0.00000063,0.00022923,1.743%,00:28:01
L,89.31,01.50,07,0.00000037,0.00022960,1.743%,00:28:01
L,26.09,01.33,07,0.00000025,0.00022985,1.743%,00:28:00
L,20.02,01.36,04,0.00000019,0.00023004,1.743%,00:27:59
L,77.43,01.20,07,0.00000014,0.00023018,1.743%,00:27:59
L,33.80,01.19,02,0.00000012,0.00023030,1.743%,00:27:58
L,38.37,01.08,07,0.00000011,0.00023040,1.743%,00:27:58
W,21.32,01.52,00,0.00000493,0.00023050,1.743%,00:27:57
L,33.64,01.72,07,0.00000324,0.00022430,1.740%,00:27:56
L,61.47,01.53,07,0.00000189,0.00022619,1.740%,00:27:56
L,46.46,01.95,08,0.00000123,0.00022742,1.740%,00:27:55
L,68.92,01.70,07,0.00000063,0.00022805,1.740%,00:27:54
L,40.90,01.50,07,0.00000037,0.00022842,1.740%,00:27:54
L,98.20,01.33,07,0.00000025,0.00022867,1.740%,00:27:53
L,35.55,01.36,04,0.00000019,0.00022886,1.740%,00:27:53
L,18.20,01.20,07,0.00000014,0.00022900,1.740%,00:27:52
L,15.51,01.19,02,0.00000012,0.00022912,1.740%,00:27:51
L,68.02,01.08,07,0.00000011,0.00022922,1.740%,00:27:50
W,11.31,01.27,00,0.00000032,0.00022932,1.740%,00:27:50
L,19.04,01.33,07,0.00000025,0.00022839,1.740%,00:27:49
L,42.84,01.36,04,0.00000019,0.00022858,1.740%,00:27:48
L,90.32,01.20,07,0.00000014,0.00022872,1.740%,00:27:48
L,17.90,01.19,02,0.00000012,0.00022884,1.740%,00:27:47
L,75.21,01.08,07,0.00000011,0.00022894,1.740%,00:27:47
W,21.93,01.65,00,0.00000104,0.00022904,1.740%,00:27:46
L,51.84,01.70,07,0.00000063,0.00022807,1.740%,00:27:46
L,98.07,01.50,07,0.00000037,0.00022844,1.740%,00:27:45
L,91.37,01.33,07,0.00000025,0.00022869,1.740%,00:27:44
L,44.66,01.36,04,0.00000019,0.00022888,1.740%,00:27:44
L,35.28,01.20,07,0.00000014,0.00022902,1.740%,00:27:43
L,45.55,01.19,02,0.00000012,0.00022914,1.740%,00:27:43
L,81.39,01.08,07,0.00000011,0.00022924,1.740%,00:27:42
W,39.01,01.83,00,0.00001151,0.00022934,1.740%,00:27:41
L,43.10,01.94,05,0.00000628,0.00022181,1.740%,00:27:41
L,71.07,01.72,07,0.00000324,0.00022505,1.740%,00:27:40
L,73.40,01.53,07,0.00000189,0.00022694,1.740%,00:27:40
L,49.93,01.95,08,0.00000123,0.00022817,1.740%,00:27:39
L,87.82,01.70,07,0.00000063,0.00022880,1.740%,00:27:39
L,28.78,01.50,07,0.00000037,0.00022917,1.740%,00:27:38
L,65.84,01.33,07,0.00000025,0.00022942,1.740%,00:27:38
L,74.53,01.36,04,0.00000019,0.00022961,1.740%,00:27:37
L,18.19,01.20,07,0.00000014,0.00022975,1.740%,00:27:36
L,13.75,01.19,02,0.00000012,0.00022987,1.740%,00:27:36
L,18.18,01.08,07,0.00000011,0.00022997,1.740%,00:27:35
W,08.91,01.11,00,0.00000011,0.00023007,1.740%,00:27:34
L,68.69,01.08,07,0.00000011,0.00022918,1.734%,00:27:34
W,00.63,01.21,00,0.00000017,0.00022928,1.734%,00:27:33
L,16.81,01.20,07,0.00000014,0.00022860,1.731%,00:27:33
L,40.05,01.19,02,0.00000012,0.00022872,1.731%,00:27:32
L,13.36,01.08,07,0.00000011,0.00022882,1.731%,00:27:31
W,19.33,01.52,00,0.00000493,0.00022892,1.731%,00:27:31
L,69.76,01.72,07,0.00000324,0.00022273,1.722%,00:27:30
L,40.45,01.53,07,0.00000189,0.00022462,1.722%,00:27:30
L,47.59,01.95,08,0.00000123,0.00022585,1.722%,00:27:29
L,36.62,01.70,07,0.00000063,0.00022648,1.722%,00:27:28
L,28.41,01.50,07,0.00000037,0.00022685,1.722%,00:27:28
L,25.01,01.33,07,0.00000025,0.00022710,1.722%,00:27:27
L,73.94,01.36,04,0.00000019,0.00022729,1.722%,00:27:27
L,81.25,01.20,07,0.00000014,0.00022743,1.722%,00:27:26
L,37.23,01.19,02,0.00000012,0.00022755,1.722%,00:27:25
L,50.99,01.08,07,0.00000011,0.00022765,1.722%,00:27:25
W,00.66,01.09,00,0.00000013,0.00022775,1.722%,00:27:24
L,86.48,01.19,02,0.00000012,0.00022638,1.713%,00:27:23
L,56.26,01.08,07,0.00000011,0.00022648,1.713%,00:27:23
W,02.37,01.19,00,0.00000147,0.00022658,1.713%,00:27:22
L,94.97,01.95,08,0.00000123,0.00022020,1.679%,00:27:21
L,91.00,01.70,07,0.00000063,0.00022083,1.679%,00:27:20
L,57.56,01.50,07,0.00000037,0.00022120,1.679%,00:27:20
L,19.63,01.33,07,0.00000025,0.00022145,1.679%,00:27:19
L,89.22,01.36,04,0.00000019,0.00022164,1.679%,00:27:18
L,91.05,01.20,07,0.00000014,0.00022178,1.679%,00:27:18
L,12.81,01.19,02,0.00000012,0.00022190,1.679%,00:27:17
L,54.39,01.08,07,0.00000011,0.00022200,1.679%,00:27:16
W,05.83,01.21,00,0.00000017,0.00022210,1.679%,00:27:16
L,09.22,01.20,07,0.00000014,0.00022143,1.677%,00:27:15
L,43.43,01.19,02,0.00000012,0.00022155,1.677%,00:27:14
L,45.39,01.08,07,0.00000011,0.00022165,1.677%,00:27:14
W,16.63,01.21,00,0.00000017,0.00022175,1.677%,00:27:13
L,52.89,01.20,07,0.00000014,0.00022107,1.674%,00:27:13
L,46.31,01.19,02,0.00000012,0.00022119,1.674%,00:27:12
L,82.87,01.08,07,0.00000011,0.00022129,1.674%,00:27:11
W,09.22,01.11,00,0.00000011,0.00022139,1.674%,00:27:11
L,79.12,01.08,07,0.00000011,0.00022050,1.668%,00:27:10
W,08.70,01.21,00,0.00000017,0.00022060,1.668%,00:27:10
L,23.35,01.20,07,0.00000014,0.00021993,1.668%,00:27:09
L,31.38,01.19,02,0.00000012,0.00022005,1.668%,00:27:09
L,12.44,01.08,07,0.00000011,0.00022015,1.668%,00:27:08
W,00.10,01.65,00,0.00000104,0.00022025,1.668%,00:27:08
L,81.78,01.70,07,0.00000063,0.00021928,1.668%,00:27:07
L,82.20,01.50,07,0.00000037,0.00021965,1.668%,00:27:06
L,98.89,01.33,07,0.00000025,0.00021990,1.668%,00:27:06
L,25.97,01.36,04,0.00000019,0.00022009,1.668%,00:27:05
L,56.89,01.20,07,0.00000014,0.00022023,1.668%,00:27:05
L,51.94,01.19,02,0.00000012,0.00022035,1.668%,00:27:04
L,67.58,01.08,07,0.00000011,0.00022045,1.668%,00:27:04
W,06.02,01.43,00,0.00000053,0.00022055,1.668%,00:27:03
L,32.07,01.50,07,0.00000037,0.00021970,1.668%,00:27:02
L,87.75,01.33,07,0.00000025,0.00021995,1.668%,00:27:02
L,68.07,01.36,04,0.00000019,0.00022014,1.668%,00:27:01
L,59.59,01.20,07,0.00000014,0.00022028,1.668%,00:27:01
L,40.37,01.19,02,0.00000012,0.00022040,1.668%,00:27:00
L,25.98,01.08,07,0.00000011,0.00022050,1.668%,00:26:59
W,12.35,01.27,00,0.00000032,0.00022060,1.668%,00:26:59
L,52.34,01.33,07,0.00000025,0.00021967,1.666%,00:26:58
L,49.14,01.36,04,0.00000019,0.00021986,1.666%,00:26:58
L,36.05,01.20,07,0.00000014,0.00022000,1.666%,00:26:57
L,86.08,01.19,02,0.00000012,0.00022012,1.666%,00:26:56
L,31.27,01.08,07,0.00000011,0.00022022,1.666%,00:26:56
W,11.46,01.27,00,0.00000032,0.00022032,1.666%,00:26:55
L,69.44,01.33,07,0.00000025,0.00021939,1.664%,00:26:55
L,99.05,01.36,04,0.00000019,0.00021958,1.664%,00:26:54
L,55.35,01.20,07,0.00000014,0.00021972,1.664%,00:26:54
L,11.66,01.19,02,0.00000012,0.00021984,1.664%,00:26:53
L,65.97,01.08,07,0.00000011,0.00021994,1.664%,00:26:52
W,11.44,01.21,00,0.00000017,0.00022004,1.664%,00:26:52
L,09.97,01.20,07,0.00000014,0.00021937,1.661%,00:26:50
L,87.82,01.19,02,0.00000012,0.00021949,1.661%,00:26:50
L,58.25,01.08,07,0.00000011,0.00021959,1.661%,00:26:49
W,12.63,01.21,00,0.00000017,0.00021969,1.661%,00:26:49
L,85.63,01.20,07,0.00000014,0.00021901,1.658%,00:26:48
L,36.97,01.19,02,0.00000012,0.00021913,1.658%,00:26:48
L,61.37,01.08,07,0.00000011,0.00021923,1.658%,00:26:47
W,16.91,01.34,00,0.00000252,0.00021933,1.658%,00:26:46
L,31.07,01.53,07,0.00000188,0.00021377,1.640%,00:26:46
L,96.94,01.95,08,0.00000123,0.00021500,1.640%,00:26:45
L,49.22,01.70,07,0.00000063,0.00021563,1.640%,00:26:44
L,84.66,01.50,07,0.00000037,0.00021600,1.640%,00:26:44
L,94.00,01.33,07,0.00000025,0.00021625,1.640%,00:26:43
L,70.66,01.36,04,0.00000019,0.00021644,1.640%,00:26:43
L,46.30,01.20,07,0.00000014,0.00021658,1.640%,00:26:41
L,17.82,01.19,02,0.00000012,0.00021670,1.640%,00:26:41
L,78.66,01.08,07,0.00000011,0.00021680,1.640%,00:26:40
W,04.02,01.11,00,0.00000011,0.00021690,1.640%,00:26:40
L,82.73,01.08,07,0.00000011,0.00021601,1.634%,00:26:39
W,10.73,01.27,00,0.00000032,0.00021611,1.634%,00:26:38
L,29.80,01.33,07,0.00000025,0.00021518,1.632%,00:26:38
L,85.04,01.36,04,0.00000019,0.00021537,1.632%,00:26:37
L,32.78,01.20,07,0.00000014,0.00021551,1.632%,00:26:36
L,14.24,01.19,02,0.00000012,0.00021563,1.632%,00:26:36
L,24.66,01.08,07,0.00000011,0.00021573,1.632%,00:26:35
W,08.22,01.27,00,0.00000032,0.00021583,1.632%,00:26:35
L,85.72,01.33,07,0.00000025,0.00021490,1.630%,00:26:34
L,77.92,01.36,04,0.00000019,0.00021509,1.630%,00:26:33
L,83.76,01.20,07,0.00000014,0.00021523,1.630%,00:26:33
L,83.03,01.19,02,0.00000012,0.00021535,1.630%,00:26:32
L,12.36,01.08,07,0.00000011,0.00021545,1.630%,00:26:32
W,04.59,01.27,00,0.00000032,0.00021555,1.630%,00:26:31
L,73.14,01.33,07,0.00000025,0.00021462,1.628%,00:26:30
L,79.11,01.36,04,0.00000019,0.00021481,1.628%,00:26:30
L,39.52,01.20,07,0.00000014,0.00021495,1.628%,00:26:29
L,36.58,01.19,02,0.00000012,0.00021507,1.628%,00:26:29
L,85.13,01.08,07,0.00000011,0.00021517,1.628%,00:26:28
W,11.27,01.19,00,0.00000147,0.00021527,1.628%,00:26:28
L,87.38,01.95,08,0.00000123,0.00020889,1.594%,00:26:27
L,98.95,01.70,07,0.00000063,0.00020952,1.594%,00:26:26
L,46.46,01.50,07,0.00000037,0.00020989,1.594%,00:26:26
L,98.07,01.33,07,0.00000025,0.00021014,1.594%,00:26:25
L,43.20,01.36,04,0.00000019,0.00021033,1.594%,00:26:24
L,29.16,01.20,07,0.00000014,0.00021047,1.594%,00:26:24
L,79.65,01.19,02,0.00000012,0.00021059,1.594%,00:26:23
L,19.19,01.08,07,0.00000011,0.00021069,1.594%,00:26:22
W,14.14,01.19,00,0.00000147,0.00021079,1.594%,00:26:22
L,57.80,01.95,08,0.00000123,0.00020441,1.582%,00:26:21
L,76.43,01.70,07,0.00000063,0.00020504,1.582%,00:26:20
L,69.44,01.50,07,0.00000037,0.00020541,1.582%,00:26:20
L,48.02,01.33,07,0.00000025,0.00020566,1.582%,00:26:19
L,91.78,01.36,04,0.00000019,0.00020585,1.582%,00:26:18
L,48.31,01.20,07,0.00000014,0.00020599,1.582%,00:26:17
L,97.29,01.19,02,0.00000012,0.00020611,1.582%,00:26:17
L,35.67,01.08,07,0.00000011,0.00020621,1.582%,00:26:16
W,24.30,01.65,00,0.00000104,0.00020631,1.582%,00:26:15
L,51.45,01.70,07,0.00000063,0.00020534,1.582%,00:26:15
L,82.08,01.50,07,0.00000037,0.00020571,1.582%,00:26:14
L,29.77,01.33,07,0.00000025,0.00020596,1.582%,00:26:13
L,53.49,01.36,04,0.00000019,0.00020615,1.582%,00:26:12
L,58.86,01.20,07,0.00000014,0.00020629,1.582%,00:26:12
L,56.80,01.19,02,0.00000012,0.00020641,1.582%,00:26:11
L,66.31,01.08,07,0.00000011,0.00020651,1.582%,00:26:11
W,29.75,02.20,00,0.00003159,0.00020661,1.582%,00:26:10
L,68.25,02.29,07,0.00001436,0.00019464,1.582%,00:26:09
L,66.07,01.94,05,0.00000628,0.00020092,1.582%,00:26:09
L,62.04,01.72,07,0.00000324,0.00020416,1.582%,00:26:08
L,62.62,01.53,07,0.00000189,0.00020605,1.582%,00:26:08
L,69.39,01.95,08,0.00000123,0.00020728,1.582%,00:26:07
L,71.60,01.70,07,0.00000063,0.00020791,1.582%,00:26:06
L,71.22,01.50,07,0.00000037,0.00020828,1.582%,00:26:06
L,31.38,01.33,07,0.00000025,0.00020853,1.582%,00:26:05
L,72.30,01.36,04,0.00000019,0.00020872,1.582%,00:26:04
L,93.21,01.20,07,0.00000014,0.00020886,1.582%,00:26:04
L,85.40,01.19,02,0.00000012,0.00020898,1.582%,00:26:03
L,83.01,01.08,07,0.00000011,0.00020908,1.582%,00:26:03
W,12.45,01.34,00,0.00000253,0.00020918,1.582%,00:26:02
L,86.44,01.53,07,0.00000189,0.00020359,1.563%,00:26:01
L,41.04,01.95,08,0.00000123,0.00020482,1.563%,00:26:00
L,92.61,01.70,07,0.00000063,0.00020545,1.563%,00:26:00
L,97.10,01.50,07,0.00000037,0.00020582,1.563%,00:25:59
L,58.62,01.33,07,0.00000025,0.00020607,1.563%,00:25:58
L,24.09,01.36,04,0.00000019,0.00020626,1.563%,00:25:58
L,35.92,01.20,07,0.00000014,0.00020640,1.563%,00:25:57
L,40.12,01.19,02,0.00000012,0.00020652,1.563%,00:25:56
L,38.95,01.08,07,0.00000011,0.00020662,1.563%,00:25:56
